YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Sex,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.3,32.3,,,26.7,38.4,1057.0,,,,,"$15,000 - $24,999",,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Income,"$15,000 - $24,999",INC,INC1525
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,26.5,26.5,,,19.9,34.3,654.0,,,,,"$25,000 - $34,999",,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Income,"$25,000 - $34,999",INC,INC2535
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,20.7,20.7,,,16.4,25.8,834.0,,,,,"$35,000 - $49,999",,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Income,"$35,000 - $49,999",INC,INC3550
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,25.1,25.1,,,20.2,30.7,830.0,,,,,"$50,000 - $74,999",,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Income,"$50,000 - $74,999",INC,INC5075
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,19.7,19.7,,,16.4,23.5,1179.0,,,,,"$75,000 or greater",,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Income,"$75,000 or greater",INC,INC75PLUS
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,18.7,18.7,,,12.7,26.7,240.0,,18 - 24,,,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Age (years),18 - 24,AGEYR,AGEYR1824
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,20.8,20.8,,,10.4,37.3,82.0,,,,,,Non-Hispanic 2 or more races,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Race/Ethnicity,Non-Hispanic 2 or more races,RACE,RACE2PLUS
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,23.6,23.6,,,17.6,30.8,471.0,,25 - 34,,,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Age (years),25 - 34,AGEYR,AGEYR2534
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,25.4,25.4,,,20.7,30.9,655.0,,35 - 44,,,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Age (years),35 - 44,AGEYR,AGEYR3544
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.6,29.6,,,25.0,34.6,963.0,,45 - 54,,,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Age (years),45 - 54,AGEYR,AGEYR4554
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.9,29.9,,,25.3,34.9,1346.0,,55 - 64,,,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Age (years),55 - 64,AGEYR,AGEYR5564
